广西壮族自治区,0.26969416126042733
新疆维吾尔自治区,0.04305799648506149
贵州省,0.028578431372549066
广东省,0.0045497185741088155
黑龙江省,0.004424333836098537
吉林省,0.002666666666666667
云南省,0.0017333333333333335
福建省,0.0010416666666666667
湖南省,8.853288364249577E-4
江西省,5.762411347517731E-4
重庆市,3.6764705882352946E-4
陕西省,3.0381944444444445E-4
四川省,2.3029682702149434E-4
内蒙古自治区,1.3893713094824593E-4
山东省,1.3698630136986303E-4
山西省,7.645259938837921E-5
辽宁省,7.575757575757576E-5
河北省,5.870267097152921E-5
安徽省,5.211047420531527E-5
浙江省,5.208333333333334E-5
西藏自治区,0.0
北京市,0.0
海南省,0.0
宁夏回族自治区,0.0
澳门特别行政区,0.0
甘肃省,0.0
湖北省,0.0
天津市,0.0
河南省,0.0
上海市,0.0
青海省,0.0
江苏省,0.0
